,review_text,review_date,review_title,review_stars,product_category,svc,logistic,naive,Result
0,"I recently purchased the capsule umbrella and  must say That compact design is  attracted  me.  The umbrella easily collapses into a small capsule that fits perfectly in my bag or even my pocket.and The materials used are of high quality, and I have not experienced any issues with leakage or breakage so far.it did not disappoint me.",Reviewed in India ğŸ‡®ğŸ‡³ on 12 June 2023,"5.0 out of 5 stars
Highly satisfied",5.0 out of 5 stars,b,OR,OR,OR,OR
1,"It's a creative and entertaining method for me to organise my keys. The holder features a stylish black finish and is composed of durable metal.""I adore this key holder with an umbrella design! The key holder's numerous hooks make it simple to keep all of my keys in one location. Overall, I'm extremely pleased with my purchase and would advise anybody seeking for an attractive and practical solution to organise their keys to buy this key holder.",Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,"5.0 out of 5 stars
practical solution to organise keys",5.0 out of 5 stars,b,OR,OR,OR,OR
2,The keychain is so attractive that it made my room look so beautiful and attractive.,Reviewed in India ğŸ‡®ğŸ‡³ on 7 June 2023,"4.0 out of 5 stars
Beautiful Attractive product",4.0 out of 5 stars,b,OR,OR,OR,OR
3,The umbrella key holder is really attractive and fancy. Better quality and well designed,Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,"4.0 out of 5 stars
Amazing Key holder",4.0 out of 5 stars,b,OR,OR,OR,OR
4,"The small mini umbrella is a great travel accessory. Its compact size and lightweight design make it easy to carry, and it provides adequate protection from light to moderate rain. Its push-button mechanism and sturdy construction make it convenient and reliable. Overall, it's an excellent choice for on-the-go rain protection.",Reviewed in India ğŸ‡®ğŸ‡³ on 12 June 2023,"5.0 out of 5 stars
Good ğŸ˜Š",5.0 out of 5 stars,b,OR,OR,OR,OR
5,"I really liked the umbrella quality, it's very handy and can be carried easily in very small space.A very unique design as a capsule which makes it more attractive.The functioning is smooth, it is easy to open and close",Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,"5.0 out of 5 stars
Best umbrella!!",5.0 out of 5 stars,b,OR,OR,OR,OR
6,"that is a good quality product. it can be easily foldable with reduced weight and is easy to travel with. Also, I like this product carrying Cute Capsule Case. this mini umbrella is of good quality and well-designed.",Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,"5.0 out of 5 stars
Amazing Mini Umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR
7,"""Love this umbrella style key holder! It's a fun and unique way to keep my keys organized. The holder is made of sturdy metal and has a sleek black finish. It's easy to install and comes with all the necessary hardware. The holder has multiple hooks, making it easy to store all my keys in one place. Overall, I'm very happy with my purchase and would recommend this key holder to anyone looking for a functional and stylish way to keep their keys organized.""",Reviewed in India ğŸ‡®ğŸ‡³ on 31 May 2023,"5.0 out of 5 stars
Amazing product",5.0 out of 5 stars,b,OR,OR,OR,OR
8,I bought it by seeing it's size and quality.Must say it stays as it promised.Very compact easy to store in my bag and to carry.Capsule disign make it look cool and attracts people attentions.,Reviewed in India ğŸ‡®ğŸ‡³ on 12 June 2023,"5.0 out of 5 stars
Compact umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR
9,I like it . It's colour is my favourite colour. Mini umbrella are cute and look good. It can be carried in pocket.value for money. everyone should buy this great product.it can be used for hanging key.nice keychains.,Reviewed in India ğŸ‡®ğŸ‡³ on 7 June 2023,"5.0 out of 5 stars
Good product.",5.0 out of 5 stars,b,OR,OR,OR,OR
10,"HEMIZA Ultra Lights and Small Mini Umbrella is a great quality product.that's easy to carry in the pocket. The mini umbrella looks fantastic and also I like its cute capsule case.I loved it, it has a great color mini umbrella.",Reviewed in India ğŸ‡®ğŸ‡³ on 11 June 2023,"5.0 out of 5 stars
That's a amazing Mini Umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR
11,The material used in umbrella is very good and it's price is so reasonable according to its quality.I like it very much and recommended other to buy this product,Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,"5.0 out of 5 stars
Superb",5.0 out of 5 stars,b,CG,CG,CG,CG
12,The umbrella is very handy and easy to handle. It is very sturdy and comes with capsule cover which safeguards from water after folding. Nice product for this price.,Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,"5.0 out of 5 stars
Compact and easy to carry",5.0 out of 5 stars,b,OR,OR,OR,OR
13,"This product considers your specific needs, the available space, and the overall style you want to achieve. By combining functionality and aesthetics, it can elevate your space while providing practical storage solutions.",Reviewed in India ğŸ‡®ğŸ‡³ on 7 June 2023,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,b,OR,OR,OR,OR
14,It is perfect for travelling or storing in your bag.The waterproof bottle prevents drips from wetting floor or clothes.It can be the best choice. This is very good quality product.,Reviewed in India ğŸ‡®ğŸ‡³ on 11 June 2023,"5.0 out of 5 stars
Amazing",5.0 out of 5 stars,b,OR,OR,OR,OR
15,"The best thing about this product is it's build quality i have even tried hanging a 2kg thing it holden that nicely.And when it comes to look, it looks beautiful and creative too ğŸ˜",Reviewed in India ğŸ‡®ğŸ‡³ on 7 June 2023,"5.0 out of 5 stars
Top Quality Key holder..!!",5.0 out of 5 stars,b,OR,OR,OR,OR
16,I love it. Wonderful product. Very useful and easy to carry. Capsule cap is so attractive my baby is so happy for used it. Value for money,Reviewed in India ğŸ‡®ğŸ‡³ on 12 June 2023,"5.0 out of 5 stars
Useful product",5.0 out of 5 stars,b,OR,OR,CG,OR
17,Awesome quality umbrella i have received this.. size is big means perfect.. Colour amd look wise is too good.. can easily open this.... easy to carry also....,Reviewed in India ğŸ‡®ğŸ‡³ on 10 June 2023,"5.0 out of 5 stars
Great quality umbrella",5.0 out of 5 stars,b,OR,OR,OR,OR
18,"Quality wise superb, and small, handy like capsuleYou can keep it in your pocketReally very niceand value for moneyGo for it ğŸ‘",Reviewed in India ğŸ‡®ğŸ‡³ on 10 June 2023,"5.0 out of 5 stars
Pocket friendly",5.0 out of 5 stars,b,OR,OR,OR,OR
19,Super product in such a range it's very convenient to use this and find my all locks key in one fixed place nice product,Reviewed in India ğŸ‡®ğŸ‡³ on 11 June 2023,"5.0 out of 5 stars
Easy to find my key",5.0 out of 5 stars,b,OR,OR,OR,OR
20,This umbrella key holder is very good and its design is also very fantastic.I recommend  other to buy this product,Reviewed in India on 12 June 2023,Good quality product,5.0 out of 5 stars,b,CG,CG,CG,CG
21,This product is very durable and stylish.its compact in size .quality is super and also cost effective.highly recommended,Reviewed in India on 13 June 2023,Amazing,5.0 out of 5 stars,b,CG,CG,CG,CG
22,The holder is made of sturdy metal and it is very attractive and made my room.its looks very beautiful and attractive.,Reviewed in India on 10 June 2023,Good quality and attractive,5.0 out of 5 stars,b,OR,OR,CG,OR
23,Product quality is actually quite good within a low price (budget friendly). Really nice. Thumbs up ğŸ‘,Reviewed in India on 13 June 2023,Really awesome,5.0 out of 5 stars,b,OR,OR,OR,OR
24,suitable for hanging the keys. its looks like a handicraft item which matches the interior of my house.,Reviewed in India on 12 June 2023,Handicraft item,5.0 out of 5 stars,b,OR,OR,OR,OR
25,I loved it it's having great material and colour is very nice it's very useful in summer definitely I am gonna recommended it,Reviewed in India on 9 June 2023,Amazing,5.0 out of 5 stars,b,CG,CG,OR,CG
26,This product is very good in quality......size is also very perfect...... colours are very attractive ... totally good product,Reviewed in India on 8 June 2023,Very useful product,5.0 out of 5 stars,b,CG,CG,CG,CG
27,The quality of product was good and enough description by seller i love the product and i recommend that you must take advantage of this product,Reviewed in India on 6 June 2023,Nice product,5.0 out of 5 stars,b,OR,CG,CG,CG
28,The umbrella key holder is attractive and stylish design. The hooks are very strong and securely hold the keys.The quality of this key holder is outstanding.I recommend this holder!,Reviewed in India on 3 June 2023,Very usefull product,5.0 out of 5 stars,b,OR,OR,OR,OR
29,"These key holder is perfect  for home decor and holding your car, bike key and other lite stuff also umbrella style is good looking.",Reviewed in India on 6 June 2023,Amazing product,5.0 out of 5 stars,b,OR,OR,OR,OR
30,It is very nice product and available in cheap price compare to hair removal spray it is time consuming but gives better results,Reviewed in India on 6 June 2023,"5.0 out of 5 stars
About product",5.0 out of 5 stars,b,OR,OR,OR,OR
31,"Happy with quality,useful item,if you want to purchase donâ€™t think and go for it.its totally worth it",Reviewed in India on 10 June 2023,"5.0 out of 5 stars
Amazing product",5.0 out of 5 stars,b,OR,CG,CG,CG
32,The product contains very good quality. It's material is also very good. It is smooth in use. Over-all it is having a great quality.,Reviewed in India on 5 June 2023,"5.0 out of 5 stars
Nice quality",5.0 out of 5 stars,b,CG,CG,CG,CG
33,Umbrella looks pretty and cute and works very well. Nice colours also.,Reviewed in India on 13 June 2023,"5.0 out of 5 stars
Cute looking umbrellas",5.0 out of 5 stars,b,OR,OR,OR,OR
34,"quality is so good , easy to carry ,worth the money",Reviewed in India on 13 June 2023,"5.0 out of 5 stars
gud quality",5.0 out of 5 stars,b,OR,CG,CG,CG
35,"Quality of product is too good at this price, it's very attractive product, should be purchase everyone",Reviewed in India on 7 June 2023,"5.0 out of 5 stars
Attractive product",5.0 out of 5 stars,b,OR,OR,CG,OR
36,It's great product. Small but worth the money it dries hair quickly.,Reviewed in India on 12 June 2023,"5.0 out of 5 stars
Great Product",5.0 out of 5 stars,b,OR,OR,OR,OR
37,Nice product easy to use for everything and price is not high than other company,Reviewed in India on 10 June 2023,"5.0 out of 5 stars
Nice to use",5.0 out of 5 stars,b,OR,OR,OR,OR
38,For me ... I really love the design and its compact size is very helpful.,Reviewed in India on 10 June 2023,"5.0 out of 5 stars
Love the design",5.0 out of 5 stars,b,OR,CG,CG,CG
39,"This product is very useful for daily life, best product value for money ğŸ‘",Reviewed in India on 12 June 2023,"5.0 out of 5 stars
Quality",5.0 out of 5 stars,b,OR,OR,CG,OR
40,Looking Awesome at my wall that tiny umbrella make your home decor next level... Highly recommended,Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,"5.0 out of 5 stars
Best Key Holder",5.0 out of 5 stars,b,OR,OR,OR,OR
41,It's a very amazing productAnd it is very usefull for home,Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,"5.0 out of 5 stars
HEMIZA Ultra Lights and Small Mini Umbrella with Cute Capsule Case, 5 Folding C",5.0 out of 5 stars,b,OR,OR,OR,OR
42,Quality is great and looks are so amazing ğŸ˜Just go for it,Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,"5.0 out of 5 stars
Attractive Key holder",5.0 out of 5 stars,b,OR,OR,CG,OR
43,It's really a nice product. I like the quality of this amazing product,Reviewed in India ğŸ‡®ğŸ‡³ on 11 June 2023,"5.0 out of 5 stars
Nice product",5.0 out of 5 stars,b,OR,CG,CG,CG
44,Nice  product great help in he rainy season over all good experience,Reviewed in India ğŸ‡®ğŸ‡³ on 9 June 2023,"5.0 out of 5 stars
Nice",5.0 out of 5 stars,b,OR,OR,OR,OR
45,Amazing product. I really loved this product.,Reviewed in India ğŸ‡®ğŸ‡³ on 9 June 2023,"5.0 out of 5 stars
Value for money",5.0 out of 5 stars,b,OR,OR,CG,OR
46,Looks attractive and beautiful product for hanging keys and other things so that they can't be misplaced.,Reviewed in India ğŸ‡®ğŸ‡³ on 3 June 2023,"5.0 out of 5 stars
Attractive",5.0 out of 5 stars,b,OR,OR,OR,OR
47,Very good key holder. I love it. Product material is very good. Looks so pretty because all are very colorful.,Reviewed in India ğŸ‡®ğŸ‡³ on 3 June 2023,"5.0 out of 5 stars
Nice colorful key holder",5.0 out of 5 stars,b,CG,CG,CG,CG
48,Good product,Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,"5.0 out of 5 stars
Amazing",5.0 out of 5 stars,b,OR,OR,CG,OR
49,This one is so handy and superâ€¦cute one.. I liked it so much..,Reviewed in India ğŸ‡®ğŸ‡³ on 9 June 2023,"5.0 out of 5 stars
Superb",5.0 out of 5 stars,b,OR,OR,CG,OR
50,Good product at very good price.,Reviewed in India on 8 June 2023,Amazing,5.0 out of 5 stars,b,OR,CG,CG,CG
51,Good qualityValue of moneyDurable,Reviewed in India on 10 June 2023,Good product,5.0 out of 5 stars,b,OR,CG,CG,CG
52,"The product is fantastic, and good key holder for the house",Reviewed in India on 6 June 2023,Good product must try must buy,5.0 out of 5 stars,b,OR,OR,CG,OR
53,Good quality product and colorful too.,Reviewed in India on 5 June 2023,Good quality product,5.0 out of 5 stars,b,CG,CG,CG,CG
54,Nicely build and good colour,Reviewed in India on 5 June 2023,Catchy colour,5.0 out of 5 stars,b,OR,OR,OR,OR
55,very good product and durability is also strong and good for holding,Reviewed in India on 31 May 2023,classic product,5.0 out of 5 stars,b,CG,CG,CG,CG
56,Best product,Reviewed in India on 3 June 2023,Osm qualityyyy,5.0 out of 5 stars,b,OR,CG,CG,CG
57,Worth it,Reviewed in India on 31 May 2023,Nice,5.0 out of 5 stars,b,OR,OR,CG,OR
58,A really cute and beautiful product that adds grace to my walls. Loved the vibrant colour and even find the quality good enough.,Reviewed in India on 9 June 2023,Nice One,5.0 out of 5 stars,b,OR,OR,OR,OR
59,"HEMIZA Ultra Lights and Small Mini Umbrella with Cute 5 Folding Compact Pocket Umbrella, Especially for KidsAmazing product amazon",Reviewed in India on 12 June 2023,Must buy,5.0 out of 5 stars,b,OR,OR,OR,OR
60,"Design is catchy and quality .working well , amazing product price is reasonable and affordable.one must try this,easy to use.overall great product.",Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,Budget product with good quality.,5.0 out of 5 stars,b,CG,CG,CG,CG
61,"Small Mini Umbrella with Cute , 5 Folding Compact Pocket Umbrella, Especially for KidsLooking greatâ€¦.Amazing product and quality is also good",Reviewed in India ğŸ‡®ğŸ‡³ on 12 June 2023,Amazing,5.0 out of 5 stars,b,OR,OR,OR,OR
62,Very handy and cute umbrella. Bit small in size but makes perfect gift for children. Easy ro handle and use.,Reviewed in India ğŸ‡®ğŸ‡³ on 12 June 2023,Cute umbrella for kids,5.0 out of 5 stars,b,OR,OR,OR,OR
63,The umbrella key holder is attractive and stylish design. The hooks are very strong and securely hold the keys.The quality of this key holder is outstanding.I recommend this holder!Very good key holder. I love it. Product material is very good. Looks so pretty because all are very colorful.,Reviewed in India ğŸ‡®ğŸ‡³ on 9 June 2023,Best quality,5.0 out of 5 stars,b,CG,OR,CG,CG
64,Wonderful product i like it.. it's very useful for us.. i recommend all to buy it.. good product easy to use,Reviewed in India ğŸ‡®ğŸ‡³ on 9 June 2023,Great product,5.0 out of 5 stars,b,OR,OR,CG,OR
65,"I absolutely love this umbrella! It is so small and compact, yet it is still very sturdy and provides excellent coverage from the rain. I love that it comes with a cute capsule case, which makes it easy to store and transport. I have been using this umbrella for a few months now, and I have been very impressed with it. It is perfect for everyday use, and it is also great for travel. I would highly recommend this umbrella to anyone looking for a small, portable, and stylish umbrella.",Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,Good one,5.0 out of 5 stars,b,OR,CG,OR,OR
66,Nowadays it's quite rare to find something with good quality. Even after paying more money but this product was completely pocket friendly as well as travel friendly. I aspecially ordered it for travelling. Loved it,Reviewed in India ğŸ‡®ğŸ‡³ on 7 June 2023,Pocket Friendly,5.0 out of 5 stars,b,OR,OR,OR,OR
67,"Thank you so much Amazon, best quality and best rate . Guys you should try it .",Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,I received in Best quality,5.0 out of 5 stars,b,OR,OR,OR,OR
68,Very shinning product design..Happy to buy,Reviewed in India ğŸ‡®ğŸ‡³ on 5 June 2023,Quality of packing,5.0 out of 5 stars,b,CG,CG,CG,CG
69,These hooks look so good and are also so useful,Reviewed in India ğŸ‡®ğŸ‡³ on 8 June 2023,Looks good,5.0 out of 5 stars,b,CG,CG,CG,CG
70,A nice product. Easy open and close.,Reviewed in India on 2 June 2023,Good,5.0 out of 5 stars,b,CG,CG,CG,CG
71,I totally recommend this product.,Reviewed in India on 31 May 2023,Value for money,5.0 out of 5 stars,b,OR,OR,CG,OR
72,Very nice product ğŸ‘ğŸ‘Œ,Reviewed in India on 3 June 2023,Excellent,5.0 out of 5 stars,b,OR,OR,CG,OR
73,"Look really good, materials light, strong and smooth. also worth for the price. I really like this product.. Helpfull in summer..",Reviewed in India on 10 June 2023,Nice product...,5.0 out of 5 stars,b,CG,CG,CG,CG
74,it was very osm product i love it,Reviewed in India on 12 June 2023,just wow,5.0 out of 5 stars,b,CG,CG,CG,CG
75,The quality is really nice. It helps to keep all the keys organized. It is very easy to install. The colorful umbrella shapes make it perfect for kids rooms. It is definitely value for money.,Reviewed in India on 4 June 2023,Great product,5.0 out of 5 stars,b,OR,OR,OR,OR
76,"HEMIZA Ultra Lights and Small Mini Umbrella with Cute Capsule Case, 5 Folding Compact Pocket Umbrella, Especially for Kids. Key handle osm . â¤ï¸â¤ï¸â¤ï¸",Reviewed in India on 30 May 2023,Umbrella case,5.0 out of 5 stars,b,OR,OR,OR,OR
77,"HEMIZA Ultra Lights and Small Mini Umbrella with Cute Capsule Case, 5 Folding Compact Pocket Umbrella Especially for KidsQuality good",Reviewed in India on 4 June 2023,Amazing product,5.0 out of 5 stars,b,OR,OR,OR,OR
78,Worth it,Reviewed in India on 2 June 2023,Nice,5.0 out of 5 stars,b,OR,OR,CG,OR
79,The product is having small size and can place anywhere. Color is very good and very finished. my son like this product.,Reviewed in India on 11 June 2023,Product is small and fit,5.0 out of 5 stars,b,CG,CG,CG,CG
80,The umbrella key holder is attractive and stylish design. The hooks are very strong and securely hold the keys.The quality of this key holder is outstanding.I recommend this holder!,Reviewed in India on 10 June 2023,"5.0 out of 5 stars
Good quality",5.0 out of 5 stars,b,OR,OR,OR,OR
81,looking very nice and cool the different colours give you different happiness very nice product at affordable range,Reviewed in India on 7 June 2023,"5.0 out of 5 stars
nice",5.0 out of 5 stars,b,OR,OR,OR,OR
82,Overall quality of the material is good.Just go for it.,Reviewed in India on 5 June 2023,"5.0 out of 5 stars
Good product !",5.0 out of 5 stars,b,CG,CG,CG,CG
83,Very cute and useful product it's quality is good and colour is osm mini umbrellaThanks Amazon,Reviewed in India on 7 June 2023,"5.0 out of 5 stars
Cute product",5.0 out of 5 stars,b,OR,OR,OR,OR
84,"Beautiful mini umbrella with Cute Capsule Case for hanging things such as key, glasses etc..Specially designed for kids.Value for money product.",Reviewed in India on 5 June 2023,"5.0 out of 5 stars
Beautiful Mini Umbrella with Cute Capsule Case",5.0 out of 5 stars,b,OR,OR,OR,OR
85,"Lovely product. SMALL & PORTABLE UMBRELLA WINDPROOF The capsule compact umbrella is innovative and unique in design made of high-quality material makes this umbrella easily foldable with reduced weight, easy to travel with. Flexible fiberglass and 6-rib of aluminum alloy design, Frosted rubberized handle and a wrist strap for easy carrying and control in windy conditions, this brings you a lasting sense of comfortable grip.",Reviewed in India on 1 June 2023,"5.0 out of 5 stars
Children friendly products.",5.0 out of 5 stars,b,OR,OR,OR,OR
86,Hyy gyes recently I received this product this is really amazing product and value of money u must try it,Reviewed in India on 30 May 2023,"5.0 out of 5 stars
Nyc product",5.0 out of 5 stars,b,OR,OR,CG,OR
87,This product is very good in quality......size is also very perfect...... colours are very attractive ... totally good product,Reviewed in India on 10 June 2023,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,b,OR,CG,CG,CG
88,"Small and portable umbrella, unique design, windproof and easy to carry anywhere.Made of sturdy metal, happy with this purchase.",Reviewed in India on 3 June 2023,"5.0 out of 5 stars
Windproof and easy carry",5.0 out of 5 stars,b,CG,CG,CG,CG
89,Good quality and sturdy product. Finishing is also good. Happy with the purchase,Reviewed in India on 7 June 2023,"5.0 out of 5 stars
Fabulous!!!",5.0 out of 5 stars,b,CG,CG,CG,CG
90,It's very compatible for regular purpose so satisfied with this product thank u for selling these quality products,Reviewed in India ğŸ‡®ğŸ‡³ on 9 June 2023,"5.0 out of 5 stars
Very good",5.0 out of 5 stars,b,OR,OR,OR,OR
91,Its was Good Products plastic Material is also good Easy to use Look so pretty,Reviewed in India ğŸ‡®ğŸ‡³ on 2 June 2023,"5.0 out of 5 stars
WOW PRODUCT",5.0 out of 5 stars,b,CG,CG,CG,CG
92,"This umbrella is very light, compact and to carry in small bag ğŸ‘œ. And handling is also comfortable. In this price  range  this umbrella fit perfectly . I recommend this product those who want to buy it.",Reviewed in India ğŸ‡®ğŸ‡³ on 13 June 2023,"5.0 out of 5 stars
Portable and compact in size",5.0 out of 5 stars,b,CG,CG,CG,CG
