,review_text,review_date,review_title,review_stars,product_category
0,Nice,Reviewed in India on 20 April 2023,"3.0 out of 5 stars
Nice",3.0 out of 5 stars,Industrial and Scientific
1,Product is good at this price but i dont know if this is working or not.,Reviewed in India on 6 February 2023,"4.0 out of 5 stars
Review",4.0 out of 5 stars,Industrial and Scientific
2,It's clone original product don't buy this not properly working and program get error when you connect with laptop or PC,Reviewed in India on 29 March 2023,"1.0 out of 5 stars
DONT BUY THIS ITS CLONE",1.0 out of 5 stars,Industrial and Scientific
3,"Tried to run 3-4 sketches, all working fine",Reviewed in India on 7 February 2023,"5.0 out of 5 stars
Works fine",5.0 out of 5 stars,Industrial and Scientific
4,Not working at all. For me this is a useless product because it did not even turned once. And i cannot upload anything to this fâ‚¹%*&g device,Reviewed in India on 14 February 2023,"1.0 out of 5 stars
Not working at all. For me this is a useless product because it did not even turned on",1.0 out of 5 stars,Industrial and Scientific
5,,Reviewed in India on 10 June 2022,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,Industrial and Scientific
6,Its product is completely repaired,Reviewed in India on 6 April 2023,"1.0 out of 5 stars
Defected Product, Damage item, missing components",1.0 out of 5 stars,Industrial and Scientific
7,"Came with already installed program. Means its return products.work at first.Second time started signal lost.,then gone,Only led blinking work.",Reviewed in India on 18 November 2022,"1.0 out of 5 stars
Chinese products work for 2 days and gone. Don't buy",1.0 out of 5 stars,Industrial and Scientific
8,"The media could not be loaded.
                



Â It's not working properlyI can't program any codesIt's loss of moneyIt's duplicateI'll not suggest to buy this productDON'T BUY THIS PRODUCT PLEASEðŸ˜­ðŸ˜¡",Reviewed in India on 24 February 2023,"1.0 out of 5 stars
Working issue ðŸ˜¡",1.0 out of 5 stars,Industrial and Scientific
9,well made,Reviewed in India on 26 December 2022,"5.0 out of 5 stars
good quality",5.0 out of 5 stars,Industrial and Scientific
